iter	Passed	Remaining
398	110092	165828
399	110642	165963
400	111088	165940
401	111920	166488
402	112675	166916
403	113126	166888
404	113497	166743
405	113838	166552
406	114342	166596
407	114624	166317
408	115477	166863
409	115880	166755
410	116341	166727
411	116611	166426
412	117532	167049
413	117968	166980
414	118258	166701
415	118729	166677
416	119164	166602
417	119512	166402
418	119914	166277
419	120289	166114
420	120629	165901
421	121000	165730
422	121371	165558
423	121764	165415
424	122151	165263
425	122492	165048
426	122950	164990
427	123341	164839
428	123747	164708
429	124192	164627
430	124575	164462
431	124928	164257
432	125369	164167
433	125818	164086
434	126220	163941
435	126755	163967
436	127075	163714
437	127395	163462
438	127816	163337
439	128410	163431
440	129025	163549
441	129675	163707
442	130004	163459
443	130344	163224
444	130693	162999
445	131069	162808
446	131542	162736
447	131839	162445
448	132197	162228
449	132540	161993
450	132869	161741
451	133173	161457
452	133463	161158
453	133935	161076
454	134240	160793
455	134520	160480
456	134823	160195
457	135082	159857
458	135386	159573
459	135758	159368
460	136022	159037
461	136445	158890
462	136718	158569
463	137074	158344
464	137430	158118
465	137751	157852
466	138157	157682
467	138765	157742
468	139284	157697
469	139553	157368
470	139892	157118
471	140262	156903
472	140539	156584
473	140854	156306
474	141105	155959
475	141334	155586
476	141677	155340
477	141898	154960
478	142196	154665
479	142395	154261
480	142613	153879
481	142867	153537
482	143127	153202
483	143369	152848
484	143576	152457
485	143813	152098
486	144016	151704
487	144227	151320
488	144509	151011
489	144737	150644
490	144959	150273
491	145186	149907
492	145442	149572
493	145673	149212
494	145925	148873
495	146214	148573
496	146770	148542
497	147187	148369
498	147463	148054
499	147696	147696
500	147955	147365
501	148188	147007
502	148407	146637
503	148642	146283
504	149032	146081
505	149364	145822
506	149670	145537
507	149957	145234
508	150171	144860
509	150468	144567
510	150697	144209
511	151068	143987
512	151324	143655
513	151598	143340
514	151925	143075
515	152189	142750
516	152437	142412
517	152716	142103
518	153052	141846
519	153637	141818
520	154215	141783
521	154503	141479
522	155073	141433
523	155547	141299
524	155982	141126
525	156399	140938
526	156789	140723
527	157119	140455
528	157522	140251
529	158003	140116
530	158582	140065
531	159006	139878
532	159300	139575
533	159849	139494
534	160320	139344
535	160682	139098
536	160904	138731
537	161217	138443
538	161513	138140
539	161753	137789
540	162131	137557
541	162432	137258
542	162695	136927
543	163036	136663
544	163257	136297
545	163461	135918
546	163645	135523
547	163875	135167
548	164062	134776
549	164452	134552
550	164724	134230
551	164964	133883
552	165248	133573
553	165614	133328
554	165888	133009
555	166085	132629
556	166318	132278
557	166522	131904
558	166746	131547
559	166936	131164
560	167127	130782
561	167309	130394
562	167603	130093
563	167888	129786
564	168091	129415
565	168348	129086
566	168699	128830
567	168902	128460
568	169123	128105
569	169298	127716
570	169573	127402
571	169912	127137
572	170154	126799
573	170596	126609
574	170928	126338
575	171412	126178
576	171649	125836
577	171857	125473
578	172129	125157
579	172611	124994
580	172901	124691
581	173263	124439
582	173640	124199
583	174041	123974
584	174295	123645
585	174512	123290
586	174782	122973
587	175034	122643
588	175258	122294
589	175463	121931
590	175885	121720
591	176062	121340
592	176252	120968
593	176438	120596
594	176640	120234
595	176840	119871
596	177005	119486
597	177197	119119
598	177408	118766
599	177585	118390
600	177780	118027
601	177958	117653
602	178139	117282
603	178347	116930
604	178537	116565
605	178733	116206
606	178928	115846
607	179146	115502
608	179312	115124
609	179511	114769
610	179708	114413
611	179899	114053
612	180096	113698
613	180518	113485
