iter	MAE
0	100.5024109
1	99.9986795
2	99.27800169
3	98.72842811
4	98.13980338
5	97.73902914
6	97.13980277
7	96.76911914
8	96.31219691
9	95.96840095
10	95.59198228
11	95.14676617
12	94.61874469
13	94.19469737
14	93.80410176
15	93.45458763
16	92.92709245
17	92.59085149
18	92.05087984
19	91.69277695
20	91.19873979
21	90.73447581
22	90.40489219
23	89.9976094
24	89.72887734
25	89.29891218
26	88.96076448
27	88.59742319
28	88.33308697
29	88.00441169
30	87.77857928
31	87.56029041
32	87.22649564
33	86.91807943
34	86.51894281
35	86.22811726
36	86.07880696
37	85.8317968
38	85.5736775
39	85.36904357
40	85.09530795
41	84.92331765
42	84.72341737
43	84.52517071
44	84.26134492
45	84.04441033
46	83.68052527
47	83.53918369
48	83.32191762
49	83.13505473
50	82.90524817
51	82.57062822
52	82.25949612
53	81.9681001
54	81.83533721
55	81.70407222
56	81.53596853
57	81.44510433
58	81.30829309
59	81.13357257
60	80.90198711
61	80.60411014
62	80.52686366
63	80.39516275
64	80.32948652
65	80.0425604
66	79.90748763
67	79.83194822
68	79.69311361
69	79.46369792
70	79.42198145
71	79.12442796
72	79.0527994
73	78.89418621
74	78.82844358
75	78.69834187
76	78.45445074
77	78.32195966
78	78.11320312
79	78.02464615
80	77.90921321
81	77.78974615
82	77.57659601
83	77.49572006
84	77.3225932
85	77.25123644
86	77.19788347
87	77.06571304
88	76.91270415
89	76.86519624
90	76.65809448
91	76.49933165
92	76.39516408
93	76.36278948
94	76.3240807
95	76.12225157
96	76.0805429
97	75.93781423
98	75.83170892
99	75.72147873
100	75.66679167
101	75.6133553
102	75.51182845
103	75.43467509
104	75.40107851
105	75.25318344
106	75.20704007
107	75.15915868
108	75.00040967
109	74.90033648
110	74.77785716
111	74.6834649
112	74.59614403
113	74.55201987
114	74.44980104
115	74.32375731
116	74.13425187
117	73.96249417
118	73.90541085
119	73.86912581
120	73.75874392
121	73.57017113
122	73.52994757
123	73.42587827
124	73.30007637
125	73.25632099
126	73.14022669
127	73.04296063
128	73.01968238
129	72.91040649
130	72.85520934
131	72.69512732
132	72.64927575
133	72.62049658
134	72.52774161
135	72.4843739
136	72.32901851
137	72.2907799
138	72.25486295
139	72.22788863
140	72.071837
141	72.04760032
142	71.99627572
143	71.95886864
144	71.90300564
145	71.80380345
146	71.69077406
147	71.65476391
148	71.62098229
149	71.57998177
150	71.49237942
151	71.44648004
152	71.40819185
153	71.37257708
154	71.35340855
155	71.21066937
156	71.18154476
157	71.09326532
158	70.98042556
159	70.9054685
160	70.79572141
161	70.7011287
162	70.65506785
163	70.62331164
164	70.58292478
165	70.49419334
166	70.44181736
167	70.40014843
168	70.37020732
169	70.33452077
170	70.3062838
171	70.22892071
172	70.15425
173	70.12504182
174	70.04694452
175	69.99892892
176	69.93156517
177	69.80048262
178	69.77403769
179	69.64670411
180	69.53002549
181	69.43713234
182	69.32334119
183	69.28599422
184	69.21173166
185	69.17687398
186	69.08822283
187	69.06005713
188	68.9910601
189	68.88184033
190	68.83684884
191	68.79469836
192	68.73807778
193	68.70073032
194	68.6330907
195	68.59431054
196	68.53434473
197	68.48124618
198	68.45759539
199	68.4165448
200	68.39884
201	68.35998159
202	68.27940434
203	68.26760831
204	68.24192741
205	68.1630109
206	68.09234602
207	68.07157658
208	68.02082143
209	67.94334669
210	67.89542694
211	67.86630761
212	67.78083206
213	67.64724365
214	67.59944193
215	67.55576021
216	67.53985401
217	67.48135859
218	67.44700188
219	67.42812959
220	67.3982803
221	67.37015157
222	67.33536298
223	67.29420759
224	67.25780649
225	67.14498122
226	67.12253469
227	67.0861736
228	67.03020507
229	66.96303045
230	66.91140248
231	66.86329833
232	66.82963003
233	66.79325798
234	66.72520279
235	66.68816417
236	66.66850559
237	66.63952253
238	66.58736934
239	66.5487079
240	66.5182011
241	66.47932051
242	66.4693156
243	66.40807306
244	66.36501342
245	66.33384583
246	66.30334849
247	66.23161613
248	66.20810878
249	66.17242234
250	66.12857029
251	66.09216104
252	66.03410929
253	66.01426142
254	65.9956422
255	65.94668837
256	65.86652696
257	65.79975969
258	65.76995008
259	65.71557374
260	65.69726072
261	65.6533726
262	65.63293901
263	65.57044554
264	65.5437188
265	65.51287225
266	65.47574859
267	65.42284366
268	65.38924791
269	65.35691201
270	65.31808657
271	65.25466404
272	65.21484314
273	65.17324524
274	65.15655428
275	65.10334583
276	65.06654528
277	64.99936693
278	64.98179352
279	64.96608892
280	64.91981717
281	64.89693913
282	64.86827841
283	64.84376068
284	64.82411544
285	64.79999654
286	64.77378139
287	64.74223343
288	64.70284524
289	64.66030084
290	64.62980894
291	64.61553574
292	64.59605702
293	64.57784425
294	64.55372605
295	64.523509
296	64.49889259
297	64.47526284
298	64.44574486
299	64.42105211
300	64.39579342
