mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_max_features,param_max_depth,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,split3_train_neg_root_mean_squared_error,split4_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error
1016.9267736434937,3.7637954116771453,0.5879743099212646,0.011191194763149595,150,0.30000000000000004,13,-464.5154474602002,-302.7303383002615,-629.5803313874791,-630.0614731716012,-248.58638847426909,-455.0947957587622,159.3787559261333,1,-481.21512436720326,-512.288837951286,-433.7866854260736,-435.2547387293173,-519.5654054215397,-476.42215837908395,36.56028169041242
1197.509360551834,8.609965372581238,0.5976032733917236,0.012513505935667345,150,0.35000000000000003,13,-464.43436247451643,-302.71668053745185,-629.421185212633,-630.1587155293295,-249.06910969462163,-455.1600106897105,159.24192012379086,2,-481.4380133848027,-512.404456828116,-433.4652741372355,-435.16211683461694,-519.5393715338316,-476.4018465437206,36.67877190558863
773.5984535694122,0.6464078276833557,0.2935317516326904,0.005846413436011446,200,0.30000000000000004,9,-469.1165741697335,-308.98571538998686,-632.9021401444767,-633.6694291120895,-255.50332580439598,-460.0354369241365,157.96425559835407,3,-486.4219058663984,-517.0178770823031,-439.1598158899121,-440.0497051215066,-524.0770240721878,-481.3452656064616,36.357244535202106
170.13329033851625,1.5447802502509043,0.7828396797180176,0.004133955823030026,150,0.05,17,-469.55314800524263,-310.36362065590106,-633.0594680605178,-636.639507222234,-254.81346555404875,-460.8858418995889,158.57553026599558,4,-486.67658938424756,-517.1960676752482,-439.6854688520102,-440.2141248949663,-525.0158115042991,-481.75761246215427,36.461702794625644
326.6901478767395,2.6413666369148965,0.6844692230224609,0.002193235096471476,200,0.1,17,-471.1754222931397,-313.3767536184022,-634.7056122419776,-637.4527772867859,-257.62782716102754,-462.8676785202666,157.8278707945055,5,-489.01594105705306,-519.6534776113781,-442.31180357871074,-442.6948659317478,-526.7704484805362,-484.08930733188515,36.24809329042759
626.0619015216828,3.2890992213828243,0.29433956146240237,0.006392203093772691,250,0.25,9,-471.4716762319882,-313.45626813056003,-635.2232008989589,-637.346310897534,-260.2430669690644,-463.5481046256211,157.2268653187422,6,-489.6497149373577,-520.2236887526757,-442.509509113384,-444.06814581953057,-527.7180165222632,-484.8338150290422,36.24328199585229
452.83606085777285,2.845391463441384,0.5202015399932861,0.0036014539087335785,250,0.15000000000000002,13,-472.61315414132923,-315.70657999455887,-635.9633293388243,-638.1667330382459,-260.7626163047488,-464.6424825635415,157.01842731841987,7,-490.8701217661002,-521.4466415175895,-444.2315991203602,-444.53498031370526,-528.6918038957177,-485.95502932269454,36.24005976424866
297.6508930206299,2.421671055724888,0.5327754974365234,0.007686796571643247,250,0.1,13,-474.5147035957415,-318.1944845725499,-636.8899172169166,-640.1979096911283,-262.7078067276295,-466.5009643607931,156.71228869128134,8,-493.145292640722,-523.0826066640973,-445.9830785455145,-445.96464681132846,-530.3649932154526,-487.708123575423,36.287801321723585
128.4595410823822,0.3763275283772566,0.356901741027832,0.0038151347016821048,200,0.05,9,-475.06308407996687,-319.33163897417217,-637.6675860045191,-641.696946312646,-264.0072773258975,-467.55330653944037,156.66647430418573,9,-493.4093839638298,-523.3996212101059,-446.7633797084881,-446.7920766134006,-530.8141277664569,-488.2357178524562,36.09353998006279
557.5492784023285,4.709319398788168,0.4207043170928955,0.003590128207337043,350,0.2,17,-476.1473882919207,-321.00654588511253,-638.3449531414257,-641.8281912873347,-266.08928690006786,-468.6832731011723,155.99532069229176,10,-495.0830861966574,-525.0646177744937,-448.7434201336496,-449.0013377549793,-532.6491336273594,-490.1083190974279,35.93675223815823
283.3918437004089,3.06072637608905,0.46883788108825686,0.003992147089150347,300,0.1,13,-476.1882919083272,-320.9867961683815,-638.6980056901034,-643.0498620654238,-266.83253229347764,-469.15109762514265,156.15499896939394,11,-495.3533694995163,-525.0782656593168,-448.632753369228,-449.34668492122825,-533.2333005887286,-490.32887480760354,36.0323795882785
148.14819469451905,1.8883508242542153,0.5971597671508789,0.0035067213351195024,250,0.05,17,-477.29811241120973,-323.5635046206048,-639.4292933630974,-644.1300924889655,-268.09669524266707,-470.5035396253089,155.74861854582315,12,-496.7182557169459,-526.5317550676727,-450.0954492352245,-449.9186448410111,-534.0477311510256,-491.46236720237596,36.077977553356185
672.3263539791108,10.62675332578994,0.3706864833831787,0.006386052196088781,400,0.25,17,-477.0847759101801,-324.41648528990237,-639.2496532567736,-643.1460875075821,-269.5824850893835,-470.6958974107644,154.94161833973448,13,-496.38768970572795,-527.362315350984,-450.3213154325478,-451.15666514058523,-535.4377612441255,-492.1331493747941,36.226472021904804
272.5021827220917,3.040256205778492,0.45122299194335935,0.03371921115734934,350,0.1,17,-479.2573492731282,-326.12439110067106,-640.1268583225813,-645.3420736432041,-271.0971367393447,-472.3895618157858,154.92429057372343,14,-499.09442055904077,-528.4310731646074,-451.65671085419064,-452.09874965706734,-536.0137506559188,-493.458940978165,36.12149597106362
232.52228140830994,2.1421318089836574,0.16469120979309082,0.0019298575475378205,350,0.15000000000000002,5,-479.47097030691685,-326.82611607770576,-641.4784428644126,-644.3975993959433,-271.8204414591955,-472.79871402083484,154.68924512117624,15,-498.99845979260164,-528.7143095866501,-452.983585311573,-452.4148437884948,-535.8802527814921,-493.7982902521624,35.764483836158334
